airbnb_id,nbh_id,host_id,lat,lon,city,state,night_price,cleaning_fee,nights_booked,rental_income,property_type,room_count,bed_count,max_capacity,star_rating,total_reviews,date_created,date_updated
27874948,273471,11555442,29.4175,-98.496,San Antonio,TX,305.0,175,59,1800,House,5,3,8,5,8,2020-10-30,2020-10-30
27874733,273471,11654041,29.4165,-98.4858,San Antonio,TX,159.0,70,107,1547,Guesthouse,1,1,3,5,55,2020-10-30,2020-10-30
27874722,273471,13361985,29.4273,-98.4893,San Antonio,TX,119.0,25,93,922,Apartment,1,1,2,5,103,2020-10-30,2020-10-30
27874807,273471,13882643,29.4107,-98.4776,San Antonio,TX,54.0,75,201,905,Guesthouse,1,2,4,5,28,2020-10-30,2020-10-30
27874771,273471,13996317,29.4133,-98.4953,San Antonio,TX,104.0,50,243,2106,Apartment,1,1,2,5,190,2020-10-30,2020-10-30
27874796,273471,14519748,29.4167,-98.4704,San Antonio,TX,72.0,65,275,1650,House,2,4,6,5,145,2020-10-30,2020-10-30
27874757,273471,14717660,29.4321,-98.4759,San Antonio,TX,45.0,0,196,735,Apartment,1,1,2,5,12,2020-10-30,2020-10-30
27874782,273471,14883992,29.4164,-98.4744,San Antonio,TX,153.0,50,230,2933,House,3,5,9,5,305,2020-10-30,2020-10-30
27874781,273471,1570838,29.4174,-98.4698,San Antonio,TX,104.0,100,48,416,Villa,2,2,4,5,91,2020-10-30,2020-10-30
27874768,273471,1582570,29.4152,-98.4917,San Antonio,TX,166.0,80,81,1121,House,2,0,4,5,102,2020-10-30,2020-10-30
27874745,273471,16026007,29.4122,-98.4901,San Antonio,TX,198.0,100,128,2112,Bungalow,2,2,4,5,48,2020-10-30,2020-10-30
27874715,273471,16206873,29.4151,-98.4702,San Antonio,TX,150.0,10,22,275,House,3,3,5,4,33,2020-10-30,2020-10-30
27874776,273471,17007828,29.4159,-98.4753,San Antonio,TX,138.0,50,188,2162,House,3,5,10,5,273,2020-10-30,2020-10-30
27874723,273471,17209540,29.4142,-98.4928,San Antonio,TX,1335.0,120,64,7120,Guesthouse,8,8,16,5,10,2020-10-30,2020-10-30
27874706,273471,17381884,29.4308,-98.4673,San Antonio,TX,148.0,80,150,1850,House,3,4,8,5,131,2020-10-30,2020-10-30
27874724,273471,17387531,29.41,-98.4707,San Antonio,TX,97.0,50,195,1576,House,2,3,5,5,351,2020-10-30,2020-10-30
27874731,273471,17708400,29.4073,-98.4748,San Antonio,TX,97.0,50,184,1487,House,2,2,5,5,335,2020-10-30,2020-10-30
27874711,273471,17764083,29.4172,-98.4754,San Antonio,TX,127.0,80,105,1212,House,3,3,4,5,83,2020-10-30,2020-10-30
27874754,273471,17766109,29.4228,-98.471,San Antonio,TX,91.0,35,321,2434,House,1,1,4,5,308,2020-10-30,2020-10-30
27874779,273471,1802005,29.4173,-98.4698,San Antonio,TX,129.0,100,35,376,Villa,3,3,6,5,154,2020-10-30,2020-10-30
27874721,273471,18746374,29.4268,-98.4883,San Antonio,TX,118.0,30,109,1072,Apartment,1,1,2,5,115,2020-10-30,2020-10-30
27874778,273471,18769530,29.4141,-98.4918,San Antonio,TX,89.0,40,64,475,Apartment,1,3,3,5,80,2020-10-30,2020-10-30
27874751,273471,18776621,29.4288,-98.472,San Antonio,TX,45.0,0,258,968,Apartment,1,1,2,5,14,2020-10-30,2020-10-30
27874765,273471,1883124,29.4174,-98.4698,San Antonio,TX,128.0,100,29,309,Villa,3,3,6,5,150,2020-10-30,2020-10-30
27874708,273471,19071085,29.4315,-98.4762,San Antonio,TX,80.0,35,208,1387,Apartment,1,2,4,5,228,2020-10-30,2020-10-30
27874753,273471,19196614,29.4321,-98.4678,San Antonio,TX,69.0,40,206,1185,Guesthouse,1,1,2,5,165,2020-10-30,2020-10-30
27874749,273471,19292690,29.4309,-98.4749,San Antonio,TX,129.0,95,142,1527,House,2,3,6,5,91,2020-10-30,2020-10-30
27874752,273471,19415227,29.4302,-98.4766,San Antonio,TX,320.0,190,153,4080,House,7,9,16,5,116,2020-10-30,2020-10-30
27874737,273471,19499532,29.4088,-98.4867,San Antonio,TX,69.0,70,77,443,House,1,1,4,5,95,2020-10-30,2020-10-30
27874770,273471,19677154,29.4149,-98.4915,San Antonio,TX,139.0,80,150,1738,Guesthouse,2,4,5,5,195,2020-10-30,2020-10-30
27874775,273471,19679572,29.4161,-98.4912,San Antonio,TX,108.0,35,165,1485,Guest suite,0,1,2,0,215,2020-10-30,2020-10-30
27874728,273471,20232972,29.4159,-98.4863,San Antonio,TX,199.0,99,86,1556,Townhouse,2,2,6,5,65,2020-10-30,2020-10-30
27874720,273471,20406135,29.4364,-98.4893,San Antonio,TX,96.0,80,236,1888,House,3,4,7,5,123,2020-10-30,2020-10-30
27874759,273471,20525824,29.434,-98.4734,San Antonio,TX,75.0,75,221,1381,House,2,3,5,5,62,2020-10-30,2020-10-30
27874719,273471,20650691,29.4367,-98.4882,San Antonio,TX,56.0,15,133,621,Apartment,0,1,3,5,194,2020-10-30,2020-10-30
27874740,273471,20777737,29.4077,-98.4679,San Antonio,TX,113.0,105,219,2062,House,3,4,7,5,148,2020-10-30,2020-10-30
27874747,273471,20874689,29.4208,-98.4745,San Antonio,TX,76.0,39,288,1824,Apartment,1,2,4,5,243,2020-10-30,2020-10-30
27874763,273471,21081222,29.4148,-98.4754,San Antonio,TX,123.0,85,127,1302,House,3,4,6,5,204,2020-10-30,2020-10-30
27874760,273471,21191584,29.4313,-98.4678,San Antonio,TX,117.0,55,147,1433,House,2,2,5,5,120,2020-10-30,2020-10-30
27874695,273471,21421754,29.4076,-98.4771,San Antonio,TX,101.0,100,268,2256,House,2,4,6,5,305,2020-10-30,2020-10-30
27874758,273471,21491664,29.4314,-98.4732,San Antonio,TX,258.0,164,163,3505,House,4,4,10,5,115,2020-10-30,2020-10-30
27874742,273471,21712470,29.4076,-98.4883,San Antonio,TX,80.0,75,120,800,Apartment,3,4,7,5,99,2020-10-30,2020-10-30
27874735,273471,21801573,29.4161,-98.4878,San Antonio,TX,125.0,65,164,1708,Bungalow,3,4,8,5,205,2020-10-30,2020-10-30
27874766,273471,21945934,29.4144,-98.4869,San Antonio,TX,97.0,40,277,2239,Guesthouse,1,1,4,5,198,2020-10-30,2020-10-30
27874791,273471,21949311,29.4075,-98.493,San Antonio,TX,109.0,65,279,2534,Apartment,1,2,4,5,75,2020-10-30,2020-10-30
27874756,273471,22017396,29.4291,-98.4735,San Antonio,TX,60.0,40,135,675,Guest suite,1,1,3,5,146,2020-10-30,2020-10-30
27874696,273471,22030838,29.409,-98.4803,San Antonio,TX,345.0,125,97,2789,House,3,4,10,5,51,2020-10-30,2020-10-30
27874767,273471,22096721,29.4157,-98.4937,San Antonio,TX,75.0,60,211,1319,Guesthouse,1,1,2,5,193,2020-10-30,2020-10-30
