nbh_id,studio,one_room,two_room,three_room,four_room,sample_count
273471,1195.0,1321.0,1527.0,2037.0,3505.0,229
271352,1164.5,1347.0,1635.5,2035.5,2804.0,225
275804,1309.0,1131.0,1383.0,1870.0,3576.0,210
271349,816.0,1518.5,1457.0,2018.5,2706.0,208
274033,939.0,1179.0,1549.5,2034.0,2440.5,199
271360,1787.0,2212.0,3100.0,3886.0,6068.0,374
271303,1872.0,2329.0,3200.0,4245.5,6973.0,305
271325,1820.5,1997.0,3042.0,4123.0,5923.0,306
271574,1872.0,1806.0,3162.0,4399.0,6162.5,300
271653,1275.0,1614.0,2176.0,3407.0,4099.5,222
422770,949.5,1444.0,1797.5,2529.5,2010.0,130
233172,955.0,1380.0,1670.5,2733.5,1380.0,97
422844,872.0,1495.0,2213.0,3403.0,7606.0,103
422756,899.0,1438.5,1742.0,2934.0,2010.0,95
199281,1540.0,1593.0,1791.0,3525.0,7475.0,88
276189,1687.0,1544.5,2228.0,3883.0,3883.0,238
273854,1346.0,1302.5,2187.5,4290.0,4290.0,227
273707,1456.5,1418.0,2198.0,4292.0,3404.0,220
273261,1787.0,1548.5,2603.0,4219.0,4219.0,215
272701,1253.0,955.5,1772.0,3630.0,6104.0,193
271389,849.5,1035.0,2043.0,2889.0,12693.5,177
403557,1130.5,1166.0,1714.5,2850.0,2850.0,180
271469,964.0,1240.0,1783.0,2480.5,2480.5,164
271298,771.0,1130.0,1193.0,1852.5,4421.5,160
274488,967.0,1020.0,1372.0,1757.5,6237.0,125
274853,2009.0,2014.0,2332.5,4449.0,6026.0,146
268153,2226.0,2203.0,2675.0,3695.0,2052.0,146
268456,2160.0,1984.5,3030.0,4377.0,4470.0,141
274232,1690.0,2193.5,2317.0,2403.5,3948.5,134
275678,1885.0,2008.5,2372.5,3587.0,5007.5,141
115295,1818.0,2211.0,3110.0,3925.0,5910.0,474
32059,1314.0,2021.0,2968.5,3848.0,4396.0,290
268404,1452.0,2521.0,3721.0,3918.5,11822.0,218
276450,2078.0,2373.5,3558.5,6175.5,6829.0,201
275024,1483.0,1647.0,2795.0,2994.0,6430.0,180
417519,2300.0,2860.5,3892.0,6024.5,5816.5,235
417522,2253.0,2926.5,3928.5,6266.5,8845.0,210
118904,2363.0,2903.0,4516.0,6188.0,7284.0,202
268201,2002.0,2975.0,3892.0,6188.0,5280.0,196
274552,2296.5,2706.0,3863.0,5178.0,8845.0,180
273808,1006.5,1872.0,2226.5,3206.5,4428.0,240
268215,1657.0,1869.0,2265.0,3295.0,6037.0,227
273355,2310.0,2113.0,2844.0,3894.0,5600.0,205
117156,1330.0,2213.0,2660.5,2264.5,6987.0,165
268012,1728.0,1677.0,1777.0,4303.0,3455.0,149
416300,2011.0,2201.0,3121.5,3759.0,6050.5,287
416314,1158.0,1775.0,2376.5,3081.5,4723.5,237
416306,1258.0,1925.0,2476.5,3202.0,5996.0,232
273486,1147.0,1878.0,2376.5,2635.0,5589.5,200
416302,1182.5,2138.0,2457.5,2971.0,9813.0,192
272845,1429.0,1424.0,1312.5,3552.0,6404.5,112
269088,1135.0,1232.5,1249.0,2898.0,5897.0,110
269147,831.0,1254.0,1003.0,3872.0,5771.0,105
269049,1093.0,1146.0,1496.0,3211.5,6681.5,96
269064,1135.0,1196.0,1312.5,1883.0,7227.0,90
269011,1803.5,1702.0,2387.0,3397.5,5889.0,131
269165,1599.0,1474.0,1588.0,2011.5,2116.0,112
268927,1599.0,1512.5,1604.5,1962.0,1979.0,99
273667,1505.0,1563.0,1934.0,1984.0,2283.0,71
274173,1728.0,1414.0,1498.0,1861.0,2696.5,60
124197,746.0,1022.0,1770.0,2249.0,2327.0,197
