info_id,nbh_id,bed_number,count,min,max,avg,rental_income,median_value,median_night_rate,median_occupancy
999,273471,0,15,298,2556,1153.6666666667,1275.675,1195.0,82,45
1000,273471,1,77,129,2798,1408.1428571429,1798.0305555556,1321.0,88,59
1001,273471,2,57,0,4849,1662.7368421053,1879.8513888889,1527.0,99,56
1002,273471,3,61,275,9616,2359.0983606557,2080.5,2037.0,145,45
1003,273471,4,13,1004,9592,4133.1538461538,3398.3527777778,3505.0,242,46
1004,273471,5,2,1800,3848,2824.0,3384.7666666667,2824.0,238,47
1005,273471,6,1,9960,9960,9960.0,9664.7944444444,9960.0,673,49
1006,273471,7,1,4080,4080,4080.0,4008.9166666667,4080.0,320,42
1007,273471,8,2,1296,7120,4208.0,6344.840625,4208.0,714,32
1008,271352,0,18,298,2556,1138.7222222222,1259.9090277778,1164.5,79,46
1009,271352,1,85,395,2798,1426.6352941176,1791.1361111111,1347.0,84,61
1010,271352,2,48,0,4849,1766.9375,1891.6631944444,1635.5,96,58
1011,271352,3,56,275,9616,2461.5357142857,2035.6607638889,2035.5,152,43
1012,271352,4,13,1004,9592,3830.6923076923,3128.05,2804.0,227,45
1013,271352,5,2,1800,3848,2824.0,3384.7666666667,2824.0,238,47
1014,271352,6,1,9960,9960,9960.0,9664.7944444444,9960.0,673,49
1015,271352,7,1,4080,4080,4080.0,4008.9166666667,4080.0,320,42
1016,271352,8,1,7120,7120,7120.0,5771.0555555556,7120.0,1335,17
1017,275804,0,3,298,1976,1194.3333333333,2318.7638888889,1309.0,78,83
1018,275804,1,51,145,3229,1260.9607843137,1662.9805555556,1131.0,63,71
1019,275804,2,62,0,3309,1390.3225806452,1590.7916666667,1383.0,82,56
1020,275804,3,80,275,4440,1894.6375,2202.4708333333,1870.0,117,57
1021,275804,4,12,811,5363,3157.25,3152.8142361111,3576.0,201,51
1022,275804,5,1,3848,3848,3848.0,4068.0263888889,3848.0,171,74
1023,275804,8,1,1296,1296,1296.0,1436.4777777778,1296.0,92,46
1024,271349,0,10,243,1957,1037.7,1112.4895833333,816.0,64,48
1025,271349,1,56,0,10991,2074.5535714286,1907.6572916667,1518.5,85,65
1026,271349,2,68,123,9798,1664.7941176471,1807.3076388889,1457.0,95,56
1027,271349,3,62,275,8613,2240.6290322581,2061.6416666667,2018.5,138,47
1028,271349,4,9,780,4842,2803.2222222222,3309.3333333333,2706.0,224,48
1029,271349,5,1,3790,3790,3790.0,3995.8375,3790.0,173,72
1030,271349,7,1,3920,3920,3920.0,3804.1111111111,3920.0,320,40
1031,271349,8,1,1465,1465,1465.0,1630.9416666667,1465.0,94,51
1032,274033,0,10,0,1485,816.3,1061.4402777778,939.0,85,37
1033,274033,1,61,284,2434,1241.737704918,1632.3611111111,1179.0,80,58
1034,274033,2,50,0,4849,1622.4,1822.3385416667,1549.5,97,56
1035,274033,3,63,275,9616,2166.253968254,1951.3305555556,2034.0,128,47
1036,274033,4,10,811,5363,2678.2,3037.2309027778,2440.5,193,51
1037,274033,5,2,2660,3848,3254.0,4253.2638888889,3254.0,300,47
1038,274033,6,1,9960,9960,9960.0,9664.7944444444,9960.0,673,49
1039,274033,7,1,4080,4080,4080.0,4008.9166666667,4080.0,320,42
1040,274033,8,1,1296,1296,1296.0,1436.4777777778,1296.0,92,46
1041,271360,0,29,629,3000,1792.8275862069,1670.2805555556,1787.0,107,47
1042,271360,1,114,802,4930,2374.4298245614,2530.1597222222,2212.0,120,64
1043,271360,2,116,1012,6643,3211.2586206897,3236.8909722222,3100.0,189,55
1044,271360,3,70,1170,8460,4094.9285714286,4096.6180555556,3886.0,260,52
1045,271360,4,28,3729,9458,6157.75,6059.9631944444,6068.0,446,46
1046,271360,5,13,5180,15694,8678.7692307692,8579.0208333333,7239.0,609,48
1047,271360,6,3,5308,10819,7937.0,9074.3055555556,7684.0,579,53
1048,271360,7,1,6368,6368,6368.0,6195.4694444444,6368.0,398,52
1049,271303,0,17,1112,2863,1974.4705882353,2134.2361111111,1872.0,110,58
1050,271303,1,94,988,5735,2579.1382978723,2606.5815972222,2329.0,118,67
1051,271303,2,102,1137,7037,3386.4901960784,3497.7138888889,3200.0,168,65
1052,271303,3,62,1383,11136,5106.5806451613,4999.2326388889,4245.5,293,56
1053,271303,4,20,4324,11067,6863.25,6286.3645833333,6973.0,442,48
1054,271303,5,5,5467,9032,6918.6,7140.8194444444,6771.0,569,43
1055,271303,6,2,6478,13230,9854.0,9289.3513888889,9854.0,612,52
1056,271303,7,1,9028,9028,9028.0,8918.3694444444,9028.0,488,61
